[DEBUG 23:34:19 sjtuautorun] ('Emulator status', 'running')
[INFO 23:34:21 sjtuautorun] Android Connected!
[INFO 23:34:23 sjtuautorun] resolution:(1080, 1920)
[DEBUG 23:34:38 sjtuautorun] ('click:', 1759332878.5827725, 579, 55)
[DEBUG 23:34:39 sjtuautorun] ('Typing:去跑步',)
[DEBUG 23:34:41 sjtuautorun] ('click:', 1759332881.866253, 101, 186)
[INFO 23:34:42 sjtuautorun] Started successfully!
[DEBUG 23:36:39 sjtuautorun] (121.43647416434817, 31.028417455661252)
[DEBUG 23:36:40 sjtuautorun] (121.43648477364891, 31.028424394489527)
[DEBUG 23:36:40 sjtuautorun] (121.4364994649619, 31.028427096868338)
[DEBUG 23:36:41 sjtuautorun] (121.43651981683244, 31.0284350957007)
[DEBUG 23:36:42 sjtuautorun] (121.43658267465872, 31.02846788816385)
[DEBUG 23:36:43 sjtuautorun] (121.43664311849136, 31.02846986652335)
[DEBUG 23:36:43 sjtuautorun] (121.43666517912013, 31.028488147381967)
[DEBUG 23:36:44 sjtuautorun] (121.43669201040974, 31.028486637814872)
[DEBUG 23:36:45 sjtuautorun] (121.43673295381456, 31.028511242543384)
[DEBUG 23:36:46 sjtuautorun] (121.4367801905534, 31.028516944347924)
[DEBUG 23:36:47 sjtuautorun] (121.436837339116, 31.028536367537264)
[DEBUG 23:36:48 sjtuautorun] (121.43689372285357, 31.028545596758924)
[DEBUG 23:36:49 sjtuautorun] (121.4369138969173, 31.02857147862185)
[DEBUG 23:36:49 sjtuautorun] (121.43694253287327, 31.02856695879871)
[DEBUG 23:36:50 sjtuautorun] (121.43699040544588, 31.028587296450933)
[DEBUG 23:36:51 sjtuautorun] (121.43703354596393, 31.02861005501306)
[DEBUG 23:36:52 sjtuautorun] (121.43708302693831, 31.028625343002606)
[DEBUG 23:36:52 sjtuautorun] (121.43709210578166, 31.028613108785045)
[DEBUG 23:36:54 sjtuautorun] (121.43716133172377, 31.028635612242994)
[DEBUG 23:36:55 sjtuautorun] (121.43723646054623, 31.0286601997407)
[DEBUG 23:36:57 sjtuautorun] (121.43730711403074, 31.028675876607693)
[DEBUG 23:36:57 sjtuautorun] (121.43731935143471, 31.028693795914105)
[DEBUG 23:36:58 sjtuautorun] (121.43737019413118, 31.028711329456502)
[DEBUG 23:36:59 sjtuautorun] (121.43739258876316, 31.028723026858465)
[DEBUG 23:36:59 sjtuautorun] (121.43742650010886, 31.028718589088527)
[DEBUG 23:37:00 sjtuautorun] (121.437444021065, 31.02873070151373)
[DEBUG 23:37:01 sjtuautorun] (121.43749577685576, 31.02875139126362)
[DEBUG 23:37:01 sjtuautorun] (121.43753330788245, 31.02875115452241)
[DEBUG 23:37:02 sjtuautorun] (121.4375593845804, 31.028764055071065)
[DEBUG 23:37:03 sjtuautorun] (121.43761428250669, 31.02877600198075)
[DEBUG 23:37:04 sjtuautorun] (121.43765390539079, 31.028793705378984)
[DEBUG 23:37:05 sjtuautorun] (121.4376820095642, 31.028808510179193)
[DEBUG 23:37:05 sjtuautorun] (121.43770378877596, 31.02880603633459)
[DEBUG 23:37:06 sjtuautorun] (121.4377486029953, 31.02882745715657)
[DEBUG 23:37:07 sjtuautorun] (121.43779727959057, 31.028848887337524)
[DEBUG 23:37:08 sjtuautorun] (121.43784292640727, 31.028849266203604)
[DEBUG 23:37:08 sjtuautorun] (121.43787622349073, 31.028875221065977)
[DEBUG 23:37:09 sjtuautorun] (121.43790650160747, 31.028886815873456)
[DEBUG 23:37:10 sjtuautorun] (121.43794752857256, 31.0288946447838)
[DEBUG 23:37:12 sjtuautorun] (121.43802285633632, 31.028918874916418)
[DEBUG 23:37:13 sjtuautorun] (121.43808774456349, 31.028935967671902)
[DEBUG 23:37:15 sjtuautorun] (121.43818342133534, 31.028962233229368)
[DEBUG 23:37:16 sjtuautorun] (121.43822617822782, 31.028966914433898)
[DEBUG 23:37:17 sjtuautorun] (121.43831094819484, 31.029000403718697)
[DEBUG 23:37:18 sjtuautorun] (121.43834315651489, 31.029014955826295)
[DEBUG 23:37:19 sjtuautorun] (121.43837095774796, 31.0290234152703)
[DEBUG 23:37:20 sjtuautorun] (121.43843701959925, 31.02903895594461)
[DEBUG 23:37:21 sjtuautorun] (121.43848536216758, 31.02906813663234)
[DEBUG 23:37:21 sjtuautorun] (121.43848443126275, 31.02906218584184)
[DEBUG 23:37:22 sjtuautorun] (121.43854042462496, 31.02908818949528)
[DEBUG 23:37:24 sjtuautorun] (121.43862226100266, 31.029104159813716)
[DEBUG 23:37:25 sjtuautorun] (121.43867739922436, 31.029121262525603)
[DEBUG 23:37:25 sjtuautorun] (121.43867806860204, 31.029126259944757)
[DEBUG 23:37:26 sjtuautorun] (121.4387154117302, 31.029130560344704)
[DEBUG 23:37:27 sjtuautorun] (121.43874477381641, 31.02915103707598)
[DEBUG 23:37:28 sjtuautorun] (121.43880512596346, 31.02915735050134)
[DEBUG 23:37:29 sjtuautorun] (121.43883632916818, 31.029168888819143)
[DEBUG 23:37:29 sjtuautorun] (121.43886845153452, 31.0291764732243)
[DEBUG 23:37:31 sjtuautorun] (121.4389279074854, 31.029194479963884)
[DEBUG 23:37:32 sjtuautorun] (121.43897336447299, 31.029213652754127)
[DEBUG 23:37:32 sjtuautorun] (121.43898905309864, 31.0292261384564)
[DEBUG 23:37:33 sjtuautorun] (121.4390026686912, 31.0292337580775)
[DEBUG 23:37:34 sjtuautorun] (121.43907831457933, 31.029259993930662)
[DEBUG 23:37:35 sjtuautorun] (121.43909860080221, 31.02926973914497)
[DEBUG 23:37:36 sjtuautorun] (121.43916844610276, 31.029285638424565)
[DEBUG 23:37:37 sjtuautorun] (121.43922693451336, 31.02929491380659)
[DEBUG 23:37:38 sjtuautorun] (121.43926595459133, 31.02931731389962)
[DEBUG 23:37:39 sjtuautorun] (121.43930463870329, 31.029326115362743)
[DEBUG 23:37:40 sjtuautorun] (121.4393524563039, 31.02933212958968)
[DEBUG 23:37:41 sjtuautorun] (121.43940071633155, 31.029349822738578)
[DEBUG 23:37:43 sjtuautorun] (121.4394940565205, 31.02938764359368)
[DEBUG 23:37:44 sjtuautorun] (121.4395500962136, 31.029405362479704)
[DEBUG 23:37:45 sjtuautorun] (121.43960446562156, 31.029423211966588)
[DEBUG 23:37:46 sjtuautorun] (121.43964874440506, 31.029432213716206)
[DEBUG 23:37:46 sjtuautorun] (121.43965288380123, 31.0294275576086)
[DEBUG 23:37:46 sjtuautorun] (121.43966924989627, 31.02944779673024)
[DEBUG 23:37:48 sjtuautorun] (121.43974166546636, 31.029465851930784)
[DEBUG 23:37:48 sjtuautorun] (121.4397564501134, 31.029462712398175)
[DEBUG 23:37:49 sjtuautorun] (121.43981179251361, 31.02949281664978)
[DEBUG 23:37:51 sjtuautorun] (121.43987517800126, 31.02949682178246)
[DEBUG 23:37:51 sjtuautorun] (121.43989595905845, 31.029517410731348)
[DEBUG 23:37:52 sjtuautorun] (121.43996210445376, 31.029527431806674)
[DEBUG 23:37:53 sjtuautorun] (121.43998059201706, 31.02953316266052)
[DEBUG 23:37:53 sjtuautorun] (121.43998635769202, 31.02954923543525)
[DEBUG 23:37:54 sjtuautorun] (121.4400289285974, 31.029546065479153)
[DEBUG 23:37:54 sjtuautorun] (121.44005449343776, 31.02956065372212)
[DEBUG 23:37:55 sjtuautorun] (121.44007533370831, 31.029573154730794)
[DEBUG 23:37:56 sjtuautorun] (121.44011665752969, 31.029576360352955)
[DEBUG 23:37:56 sjtuautorun] (121.44014075195356, 31.029594715723437)
[DEBUG 23:37:57 sjtuautorun] (121.44018893055774, 31.029594113900508)
[DEBUG 23:37:58 sjtuautorun] (121.44021813717445, 31.029603973917627)
[DEBUG 23:37:58 sjtuautorun] (121.44024065926523, 31.029626058871898)
[DEBUG 23:37:59 sjtuautorun] (121.44027016027997, 31.029642602408927)
[DEBUG 23:37:59 sjtuautorun] (121.44029312207172, 31.029631898189745)
[DEBUG 23:38:01 sjtuautorun] (121.44035571095871, 31.029666121649885)
[DEBUG 23:38:02 sjtuautorun] (121.44041912271979, 31.029684044352333)
[DEBUG 23:38:03 sjtuautorun] (121.44045021371116, 31.02969091024688)
[DEBUG 23:38:04 sjtuautorun] (121.440526762695, 31.029703767332713)
[DEBUG 23:38:05 sjtuautorun] (121.44057052099319, 31.02971521459358)
[DEBUG 23:38:06 sjtuautorun] (121.4406054700501, 31.02973425835257)
[DEBUG 23:38:06 sjtuautorun] (121.44061921685667, 31.029747149767566)
[DEBUG 23:38:07 sjtuautorun] (121.44065481337199, 31.029748079044072)
[DEBUG 23:38:07 sjtuautorun] (121.4406571593118, 31.029755587693153)
[DEBUG 23:38:08 sjtuautorun] (121.44073320045526, 31.029767105612674)
[DEBUG 23:38:09 sjtuautorun] (121.44076645195884, 31.02978943801615)
[DEBUG 23:38:09 sjtuautorun] (121.44078439419206, 31.029795590561715)
[DEBUG 23:38:10 sjtuautorun] (121.44079955620775, 31.02981140357615)
[DEBUG 23:38:11 sjtuautorun] (121.44084101643428, 31.02982158794721)
[DEBUG 23:38:12 sjtuautorun] (121.44090766035121, 31.0298397179734)
[DEBUG 23:38:13 sjtuautorun] (121.44094503925976, 31.029836437611507)
[DEBUG 23:38:13 sjtuautorun] (121.44098243202974, 31.029861956134607)
[DEBUG 23:38:15 sjtuautorun] (121.44104480089281, 31.029876571335475)
[DEBUG 23:38:16 sjtuautorun] (121.44110217252282, 31.029891861519253)
[DEBUG 23:38:17 sjtuautorun] (121.44115179062887, 31.029899644415476)
[DEBUG 23:38:19 sjtuautorun] (121.44122517661012, 31.029926425688892)
[DEBUG 23:38:19 sjtuautorun] (121.44126093373977, 31.029941161642054)
[DEBUG 23:38:20 sjtuautorun] (121.44131295976173, 31.029958715610796)
[DEBUG 23:38:21 sjtuautorun] (121.44134320523834, 31.029967142247724)
[DEBUG 23:38:21 sjtuautorun] (121.44135941651422, 31.029972640004246)
[DEBUG 23:38:22 sjtuautorun] (121.44141401886942, 31.030001523153175)
[DEBUG 23:38:24 sjtuautorun] (121.44148165546974, 31.03001703355697)
[DEBUG 23:38:26 sjtuautorun] (121.44157281781399, 31.03005645687776)
[DEBUG 23:38:27 sjtuautorun] (121.44163002664092, 31.030069211408204)
[DEBUG 23:38:28 sjtuautorun] (121.44165447951191, 31.03006586169533)
[DEBUG 23:38:28 sjtuautorun] (121.44168589131716, 31.03008480904242)
[DEBUG 23:38:29 sjtuautorun] (121.44173037175393, 31.030085234217477)
[DEBUG 23:38:30 sjtuautorun] (121.44176213692894, 31.030096651136272)
[DEBUG 23:38:31 sjtuautorun] (121.44181186659996, 31.030123319984092)
[DEBUG 23:38:32 sjtuautorun] (121.44186867202397, 31.030145976061487)
[DEBUG 23:38:33 sjtuautorun] (121.44191989953889, 31.030152298510792)
[DEBUG 23:38:34 sjtuautorun] (121.44197829425788, 31.030163563034577)
[DEBUG 23:38:35 sjtuautorun] (121.44203170023722, 31.030185871318434)
[DEBUG 23:38:36 sjtuautorun] (121.44206563548197, 31.03020683619533)
[DEBUG 23:38:36 sjtuautorun] (121.44208124903798, 31.030216970869677)
[DEBUG 23:38:37 sjtuautorun] (121.44211305870104, 31.03021939388809)
[DEBUG 23:38:38 sjtuautorun] (121.44215847504414, 31.03023326414791)
[DEBUG 23:38:40 sjtuautorun] (121.44223757458846, 31.03025270585735)
[DEBUG 23:38:40 sjtuautorun] (121.44228184628125, 31.03026538277478)
[DEBUG 23:38:41 sjtuautorun] (121.44228528992048, 31.03027512003772)
[DEBUG 23:38:42 sjtuautorun] (121.44234184968842, 31.030288753148497)
[DEBUG 23:38:43 sjtuautorun] (121.44239168615725, 31.03029507392658)
[DEBUG 23:38:44 sjtuautorun] (121.44244479861457, 31.030326422573378)
[DEBUG 23:38:44 sjtuautorun] (121.44247701155089, 31.030331588725893)
[DEBUG 23:38:46 sjtuautorun] (121.44253711127287, 31.030353913894093)
[DEBUG 23:38:46 sjtuautorun] (121.44255900716132, 31.03036563148753)
[DEBUG 23:38:47 sjtuautorun] (121.44261614837939, 31.030374735484088)
[DEBUG 23:38:48 sjtuautorun] (121.44266747639173, 31.030395659156955)
[DEBUG 23:38:50 sjtuautorun] (121.44274255272825, 31.030418499585718)
[DEBUG 23:38:50 sjtuautorun] (121.44274625262481, 31.030419359742808)
[DEBUG 23:38:51 sjtuautorun] (121.44276351857818, 31.030433825436013)
[DEBUG 23:38:52 sjtuautorun] (121.44282931288616, 31.03044388677457)
[DEBUG 23:38:53 sjtuautorun] (121.44290212946854, 31.03045914419712)
[DEBUG 23:38:54 sjtuautorun] (121.44293590255755, 31.030476354017242)
[DEBUG 23:38:55 sjtuautorun] (121.4429658509764, 31.030488904847395)
[DEBUG 23:38:56 sjtuautorun] (121.44302830285059, 31.030501718455312)
[DEBUG 23:38:56 sjtuautorun] (121.44303738915221, 31.030510877811313)
[DEBUG 23:38:57 sjtuautorun] (121.44307330449308, 31.030518287234546)
[DEBUG 23:38:58 sjtuautorun] (121.44312931364703, 31.03055060364074)
[DEBUG 23:38:59 sjtuautorun] (121.44314918443862, 31.03055645785133)
[DEBUG 23:38:59 sjtuautorun] (121.44318537514086, 31.030557006607637)
[DEBUG 23:39:00 sjtuautorun] (121.44323101703783, 31.03057263342206)
[DEBUG 23:39:02 sjtuautorun] (121.44331179687931, 31.030600539120442)
[DEBUG 23:39:03 sjtuautorun] (121.4433441457685, 31.030614556015504)
[DEBUG 23:39:03 sjtuautorun] (121.44336965408675, 31.030614951106386)
[DEBUG 23:39:05 sjtuautorun] (121.44342675548863, 31.030633867800145)
[DEBUG 23:39:05 sjtuautorun] (121.44347318824141, 31.030656635855212)
[DEBUG 23:39:06 sjtuautorun] (121.44349004284356, 31.030649529716534)
[DEBUG 23:39:06 sjtuautorun] (121.44350502044738, 31.030660804476042)
[DEBUG 23:39:07 sjtuautorun] (121.44353919480217, 31.030673193356026)
[DEBUG 23:39:07 sjtuautorun] (121.443536421492, 31.030672314075996)
[DEBUG 23:39:07 sjtuautorun] (121.4435603498749, 31.03067889302543)
[DEBUG 23:39:08 sjtuautorun] (121.44360710294903, 31.030691692052418)
[DEBUG 23:39:09 sjtuautorun] (121.44362982895308, 31.030698254527035)
[DEBUG 23:39:09 sjtuautorun] ('click:', 1759333149.526968, 480, 453)
[DEBUG 23:39:10 sjtuautorun] ('input swipe 689 1610 689 1610 5000',)
[INFO 23:39:22 sjtuautorun] Run finished, closing the emulator!
